"許可證字號","中文品名","英文品名","形狀","特殊劑型","顏色","特殊氣味","刻痕","外觀尺寸","標註一","標註二","外觀圖檔連結"
"衛署藥製字第026138號","""十全"" 妥彼鬆錠１００毫克","TOLPERISONE TABLETS 100MG ""S.C.""","圓形","","白","","直線","8","TPS 100","SHOU CHAN","https://mcp.fda.gov.tw/insert/shapeImg/089d902d-ddd9-4ad4-80cd-0b627502de7e?c=o"
"衛署藥製字第026154號","""成大""普利腫錠1毫克(布米他奈)","BUDEMA TABLETS 1MG ”CHEN TA” (BUMETANIDE)","三角形","","白","","直線","7",,,"https://mcp.fda.gov.tw/insert/shapeImg/75d4df3d-5b43-4c88-8759-b248ffa6870b?c=o"
"衛署藥製字第026175號","""大豐""癒尿寧膜衣錠100毫克","URODINE F.C. TABLETS 100MG ""T.F.""","圓形","","棕","","直線","8","TF 100",,"https://mcp.fda.gov.tw/insert/shapeImg/9e29badc-62ca-47be-bbd8-7f9189d6cc8f?c=o"
"衛署藥製字第026205號","""信隆""美坐磺胺錠５００公絲","SULFAMETHOXAZOLE TABLETS 500MG ""SPC""","圓形","","白","","直線","12.0","P SC",,"https://mcp.fda.gov.tw/insert/shapeImg/5a21b53d-c4b4-4b0c-a4f8-420619de3abf?c=o"
"衛署藥製字第026233號","""南光""復腦通膠囊５毫克","FLUNAZON CAPSULES 5MG “N.K.”","膠囊","","灰;;;白","","無","16","NKP 193",,"https://mcp.fda.gov.tw/insert/shapeImg/59a42906-d32a-4940-894b-f46d643f8639?c=o"
"衛署藥製字第026234號","""瑞士""康得淨膣錠100毫克（克催瑪汝）","KANEZIN VAGINAL TABLETS 100MG ""SWISS"" (CLOTRIMAZOLE)","四邊形","","白","","無","25","SWISS","KANEZIN","https://mcp.fda.gov.tw/insert/shapeImg/437dc618-3fac-471b-9bdd-67bebbb72e18?c=o"
"衛署藥製字第026263號","""皇佳"" 惠治樂錠５００公絲（每艾普林諾）","VIRUX TABLETS 500MG (METHISOPRINOL)","圓形","","白","","無","13","R",,"https://mcp.fda.gov.tw/insert/shapeImg/01936553-ac84-4ad4-8326-af2dd1611597?c=o"
"衛署藥製字第026272號","痛定膜衣錠30毫克(尼夫平)","CAPAIN F.C. TABLETS 30MG (NEFOPAM)","圓形","","橘","","直線","6.5","C",,"https://mcp.fda.gov.tw/insert/shapeImg/a9de88fc-8481-45de-b8c5-bd62d98ab6e7?c=o"
"衛署藥製字第026276號","""大豐""利舒淨膠囊90毫克","LYSOZYME CAPSULES 90MG ""T.F.""","膠囊","","粉;;;粉","","無","16","TF",,"https://mcp.fda.gov.tw/insert/shapeImg/d9902823-6f26-4778-a0a4-4698e75f5ffe?c=o"
"衛署藥製字第026278號","“杏輝”諾司卡賓錠１５毫克","NOSCAPINE TABLETS 15MG ""SINPHAR""","圓形","","白","","直線","7",,,"https://mcp.fda.gov.tw/insert/shapeImg/808841b2-b8a5-4708-8c8e-c008a387dccd_img_1?c=o"
"衛署藥製字第026282號","拆風鈴優膠囊","CHAPLIN-U CAPSULES","膠囊","","綠;;;黃","","無","22",,"chaplin","https://mcp.fda.gov.tw/insert/shapeImg/44a84510-edab-4ee9-956f-60f93243d38f_img_1?c=o"
"衛署藥製字第026284號","""信隆""諧平錠25毫克(敵芬尼朵)","CEPIN TABLETS 25MG (DIPHENIDOL) ""SPC""","圓形","","黃","","直線","7.0",,,"https://mcp.fda.gov.tw/insert/shapeImg/53d10ba1-2c9e-4055-a210-9838a1dffdbb?c=o"
"衛署藥製字第026287號","""華興""能冒錠","Noma Tablets ""H.S.""","橢圓形","","粉","","直線","18",,,"https://mcp.fda.gov.tw/insert/shapeImg/bcf86ddf-cf51-4981-9892-f76135c0c454_img_1?c=o"
"衛署藥製字第026289號","必克風膠囊","P.P.C. CAPSULES","膠囊","","綠;;;綠","","無","22",,,"https://mcp.fda.gov.tw/insert/shapeImg/92159f46-bd59-44c9-b997-95b55c8f09e9?c=o"
"衛署藥製字第026324號","""明大""必樂康膠囊１０毫克（匹洛西卡）","PIROCAM CAPSULES 10MG (PIROXICAM)""M.T.""","膠囊","","黑;;;藍","","無","17","MT 087",,"https://mcp.fda.gov.tw/insert/shapeImg/f0d0c1a9-f691-4679-8c46-c42060ed1ee3?c=o"
"衛署藥製字第026327號","""美的"" 雙效止咳膠囊","Anti-Cough NDX Capsules ""M.D.""","膠囊","","橘;;;黃","","無","19",,,"https://mcp.fda.gov.tw/insert/shapeImg/e681952c-2044-4808-8e4f-0ec55f7c5b12?c=o"
