"許可證字號","中文品名","英文品名","形狀","特殊劑型","顏色","特殊氣味","刻痕","外觀尺寸","標註一","標註二","外觀圖檔連結"
"內衛成製字第000075號","""福元""蘇打錠500毫克","SODIUM BICARBONATE TABLETS ""F.Y.""","圓形","","白","","無","8","FY T061",,"https://mcp.fda.gov.tw/insert/shapeImg/e67be591-893d-4f5b-b0f1-9bb7c38014e9?c=o"
"內衛成製字第000386號","建功丸","CHENG KONG PILL","其他","","棕","","無","8",,,"https://mcp.fda.gov.tw/insert/shapeImg/89db57ae-5c85-47b8-9d74-351ecad719e6?c=o"
"內衛成製字第000726號","暮帝納斯腹瀉整腸錠","BOTERASU TABLETS FOR DIARRHEA AND INTESTINAL DISEASES","圓形","","黃","","無","8","T",,"https://mcp.fda.gov.tw/insert/shapeImg/8596ebb8-899f-421c-8b68-36843f7b03ca?c=o"
"內衛成製字第001331號","〝金葫蘆〞消化固胃散","DIGESTIVE STOMACH POWDER ""JIN HWU RO""","顆粒劑、粉劑或散劑","","棕","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/431e2827-8b2e-4114-a7e9-2b5a5d163350?c=o"
"內衛成製字第001725號","消化保胃散","Shiau Hauh Bao Wey Powder","顆粒劑、粉劑或散劑;;;顆粒劑、粉劑或散劑","","棕;;;棕","","無;;;無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/2cd61785-6a75-4e6b-a9ad-5f8d906ed79e_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/37fdac30-b740-496f-a972-3be2d0cc205e_img_1?c=o"
"內衛藥製字第000055號","暈速寧片","BET TABLETS","圓形","","橘","","無","7",,,"https://mcp.fda.gov.tw/insert/shapeImg/7d771874-4de3-430f-9d6b-52d1883fccf9?c=o"
"內衛藥製字第000102號","攸汝琳路必淨糖衣錠100毫克","UROPRIN SUGAR COATED TABLETS 100MG","圓形","","黑","","無","9.6",,,"https://mcp.fda.gov.tw/insert/shapeImg/228e3f11-c89c-4f6b-ac37-221a68d87a79?c=o"
"內衛藥製字第000107號","敏的膠囊","BETTY CAPSULES","膠囊","","藍;;;透明","","無","14.2","YSP BTCp",,"https://mcp.fda.gov.tw/insert/shapeImg/7db76132-0169-40a8-a683-659a239a023e?c=o"
"內衛藥製字第000140號","""強生"" 易克痛膜衣錠","ERGOTON FILM COATED TABLETS ""JOHNSON""","圓形","","黃","","無","8","m",,"https://mcp.fda.gov.tw/insert/shapeImg/c41a6341-709e-4dee-9407-c7ea432f8440?c=o"
"內衛藥製字第000141號","恆克利片","HYCHLOZIDE TABLETS","圓形","","白","","直線","7.2",,,"https://mcp.fda.gov.tw/insert/shapeImg/78ab68ff-a16e-43e3-8813-ec0d8ed304b5?c=o"
"內衛藥製字第000162號","""強生""蘋果酸氯芬尼拉明錠4毫克","CHLORPHENIRAMINE MALEATE TABLETS 4MG ""JOHNSON""","六邊形","","白","","直線","7.8",,,"https://mcp.fda.gov.tw/insert/shapeImg/f2ec8164-0afc-4e46-a759-8f72e5287ecb?c=o"
"內衛藥製字第000164號","異菸生僉醯月井錠","ISONIAZIDE TABLETS","圓形","","白","","無","7.2",,,"https://mcp.fda.gov.tw/insert/shapeImg/1405fca6-4d8e-432d-99e0-d3a0b339406d?c=o"
"內衛藥製字第000258號","""強生""倍樂寧膠囊","PELONINE CAPSULES ""JOHNSON""","膠囊;;;膠囊","","藍;;;白;;;藍;;;白","","無;;;無","15;;;15",,,"https://mcp.fda.gov.tw/insert/shapeImg/0ebf243e-1fbf-488f-8f62-ce152e36b9d8?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/e0824299-63c0-4c47-9701-a21d47c6eaf3?c=o"
"內衛藥製字第000261號","""強生""通便樂腸溶錠","JOHNLAX ENTERIC COATED TABLETS ""JOHNSON""","圓形","","黃","","無","7",,,"https://mcp.fda.gov.tw/insert/shapeImg/138dfeef-045f-49ab-b557-7fef72451ad9?c=o"
"內衛藥製字第000278號","""強生""克僂強錠","DEXAZONE TABLETS ""JOHNSON""","圓形","","黃","","直線","6","I 15","JCP","https://mcp.fda.gov.tw/insert/shapeImg/2412e72e-954d-4637-a05b-22a864125d49?c=o"
"內衛藥製字第000286號","""強生""筋弛能錠","KINZANONE TABLETS ""JOHNSON""","橢圓形","","綠","","直線","11",,,"https://mcp.fda.gov.tw/insert/shapeImg/85794476-d369-46ec-ad6a-03892cb85dbc?c=o"
"內衛藥製字第000288號","""強生""維他命B1錠100毫克","VITAMIN B1 TABLETS 100MG ""JOHNSON""","圓形","","白","","無","8","100",,"https://mcp.fda.gov.tw/insert/shapeImg/e6937e06-87ff-44a7-a4e9-22f2c928dd73?c=o"
"內衛藥製字第000373號","固胃必朗錠","EAPILONE TABLETS","圓形","","綠","","無","12.7","YSP",,"https://mcp.fda.gov.tw/insert/shapeImg/d9db29ff-6de0-4c58-ae14-70a21b870e70?c=o"
"內衛藥製字第000394號","""強生""血管淨錠","HEXAZIN TABLETS ""JOHNSON""","圓形","","粉","","直線","9.5",,,"https://mcp.fda.gov.tw/insert/shapeImg/51534d1c-298c-49c6-98f4-3fdbaf76d09e?c=o"
"內衛藥製字第000482號","喉克片","HOUK TABLETS","其他","","綠","","無","19","MEYSEE MEYSEE",,"https://mcp.fda.gov.tw/insert/shapeImg/c0bbb47d-deed-4023-9db3-6df6df1519d5_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/d5706990-b47d-4134-a4a5-b6c5f3d1c3ec?c=o"
"內衛藥製字第000711號","普力多寧錠","PREDONINE TABLETS","圓形","","白;;;白","","無","9","341","5","https://mcp.fda.gov.tw/insert/shapeImg/66931a12-17d3-4bbf-8dea-205e79760658?c=o"
"衛部藥製字第060905號","廷耐力膜衣錠30毫克","Dapower-X F.C. Tablet 30mg","橢圓形","","黃","","直線","10","N K","630","https://mcp.fda.gov.tw/insert/shapeImg/317dbcd3-ab66-4780-8d3b-6c5701f31971_img_1?c=o"
"衛部藥製字第060906號","""國嘉""美腹寧錠100毫克","Mebeverine Tablets 100mg ""Kojar""","圓形","","黃","","直線","9","KOJAR",,"https://mcp.fda.gov.tw/insert/shapeImg/68006ff9-a010-48ff-bf55-da0acec522f2?c=o"
"衛部藥製字第060911號","佳倍壯膜衣錠5毫克","Vetawon F.C. Tablets 5mg","三角形","","白","","直線","6.3","Y5",,"https://mcp.fda.gov.tw/insert/shapeImg/9b328ec6-9615-40d4-8822-6d9ed89dbbe3_img_1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/fb434c59-e7e3-4845-82ab-2de4866945f3?c=o"
"衛部藥製字第060921號","井胃好腸溶膜衣錠20毫克","JWH Gastro-resistant Tablets 20mg","橢圓形","","黃","","無","8.5",,,"https://mcp.fda.gov.tw/insert/shapeImg/316f675a-a6ef-4b2c-b3ac-19c55bf6a521?c=o"
"衛部藥製字第060922號","醫逆潰腸溶膜衣錠20毫克","ENYKA Gastro-resistant Tablets 20mg","橢圓形","","黃","","無","8.5",,,"https://mcp.fda.gov.tw/insert/shapeImg/574964b7-182f-4cc0-86f5-6f19a331fb62?c=o"
"衛部藥製字第060931號","尼菲士持續性藥效錠30毫克","Niferos OROS 30mg","圓形","","粉","","無","10",,,"https://mcp.fda.gov.tw/insert/shapeImg/e0ce4f98-be9d-434a-b7fa-2699e9072c74_img_1?c=o"
"衛部藥製字第060950號","虎讚膜衣錠20毫克","Zan Film-Coated Tablets 20mg","橢圓形","","黃","","直線","12.6","CCP 219",,"https://mcp.fda.gov.tw/insert/shapeImg/5c9f35af-a31f-4837-b4ce-75bc5e50d4ef?c=o"
"衛部藥製字第060991號","""國嘉""康纖散劑","Kocel ""Kojar""","顆粒劑、粉劑或散劑","","棕","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/17f3b36d-09ba-4272-a79b-6102e9b12808?c=o"
"衛部藥製字第060993號","""優生""舒樂拿膜衣錠5毫克","Sofena F.C. Tablets 5mg ""Yu Sheng""","圓形","","黃","","無","8","150",,"https://mcp.fda.gov.tw/insert/shapeImg/60109387-3949-46dc-9306-cd3eda6a6fc3_img_1?c=o"
"衛部藥製字第061002號","""信隆""異菸鹼醯胼錠300毫克","Isoniazid Tablets 300mg ""S.L.""","圓形","","白","","直線","10.5","882",,"https://mcp.fda.gov.tw/insert/shapeImg/d3772752-499d-4de8-a785-0932b1e6aed6?c=o"
"衛部藥製字第061020號","欣倍泰錠5毫克","Synbeta Tablets 5mg","圓形","","黃","","十字","9","SYN 031",,"https://mcp.fda.gov.tw/insert/shapeImg/7a66c089-b5bb-4dc3-a3e5-990ffdeb6db8?c=o"
"衛部藥製字第061021號","益百熱預混合注射液4毫克/毫升","Ibufor Premixed solution for Injection 4 mg/mL",,"",";;;","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/3bd36b6f-b2eb-474d-9d11-a6865ee980c1?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/96adff69-8e9b-4243-b03d-fd4c706f7c58?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/a35a87f8-2382-4a13-87ef-e7d491e8e8a5?c=o"
"衛部藥製字第061023號","保立勁-(可羅希定)殺菌水溶液2%","PURE CHG AQUA Antiseptic Solution 2%","液劑(包含糖漿用粉劑);;;液劑(包含糖漿用粉劑)","","透明;;;藍","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/7d078f50-b873-44c3-93bb-c1f28ec84e73?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/ec37dae4-d714-4f22-86d1-9bdad47d173b?c=o"
"衛部藥製字第061025號","易得靜膜衣錠5毫克","Exprexa F.C. Tablets 5mg","圓形","","白","","直線","8","EB 2060",,"https://mcp.fda.gov.tw/insert/shapeImg/aaa2f922-96f8-4d70-bec8-251ccd04ba22?c=o"
"衛部藥製字第061026號","""中美""解百痛膜衣錠600毫克","Ache-Free Ibuprofen F.C. Tablets 600mg ""C.M.""","四邊形","","橘","","直線","21","C M","600","https://mcp.fda.gov.tw/insert/shapeImg/28a334e7-bfd8-4fe6-b99d-84712e37cd8c_img_1?c=o"
"衛部藥製字第061027號","""中美生醫""解痛寧膜衣錠600毫克","""C.M.B."" Ibuprofen F.C. Tablets 600mg","橢圓形","","橘","","直線","22","C M","600","https://mcp.fda.gov.tw/insert/shapeImg/59e2ffbc-e8e8-4338-b612-7a6746583c05_img_1?c=o"
"衛部藥製字第061031號","利止黴凍晶注射劑50毫克","Casfungin For Injection 50mg",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/06496910-c9d5-46cb-9b0e-aab8eba9e464?c=o"
"衛部藥製字第061032號","攝勇膜衣錠5毫克","TADA F.C. Tablets 5mg","橢圓形","","黃","","無","6.4",,,"https://mcp.fda.gov.tw/insert/shapeImg/368fd5c2-baa1-4348-951e-167789bf9809?c=o"
"衛部藥製字第061038號","""大豐""抒暢膜衣錠100毫克","Su-chung F.C. Tablets 100mg ""T.F.""","圓形","","粉","","直線","11","TF",,"https://mcp.fda.gov.tw/insert/shapeImg/04efc034-13d3-4c6c-b740-6ffcef3189cd?c=o"
"衛部藥製字第061039號","布洛坦乾粉注射劑","Burotam Powder for Injection",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/663ea08f-1cc8-41d9-a810-e2ca4485420f?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/f301e0f3-d3a3-4bb2-8802-37c010220fd5?c=o"
"衛部藥製字第061040號","清栓定膜衣錠90毫克","Ticagrel Film-Coated Tablets 90mg","圓形","","黃;;;黃","","無","9.0","SCP","988","https://mcp.fda.gov.tw/insert/shapeImg/a2e2d2c7-8de6-4cfb-9ead-b861a1e8f020?c=o"
"衛部藥製字第061042號","安克流膠囊75毫克","Anflu Capsules 75mg","膠囊","","黃;;;白","","無","1.8","SCP 580",,"https://mcp.fda.gov.tw/insert/shapeImg/c8b9d53c-7c77-4792-96ba-bcea97126c2c?c=o"
"衛部藥製字第061043號","脈索林錠2.5毫克","Vasorine Tablet 2.5mg","圓形","","白","","直線","7.2","GL 145",,"https://mcp.fda.gov.tw/insert/shapeImg/edd72b1c-556a-4943-966b-4d2f69251728?c=o"
"衛部藥製字第061044號","""約克""達頂膜衣錠30毫克","Dapo F.C. Tablets 30mg ""Y.K.""","橢圓形","","白","","直線","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/d176c983-b791-459c-823e-eee877286b9f?c=o"
"衛部藥製字第061045號","""霖揚""甘昔維爾凍晶注射劑500毫克","Gancicure Lyo Inj. 500mg ""GBC""",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/855ee357-f3c7-41b1-90e2-8d43101aa03e?c=o"
"衛部藥製字第061048號","派鐵可溶錠125毫克","Paite Dispersible Tablets 125mg","圓形","","白","","無","12","GD",,"https://mcp.fda.gov.tw/insert/shapeImg/33ab838d-beb5-42db-b6a1-70849c0463da?c=o"
"衛部藥製字第061052號","普憂寧膠囊20毫克","Bupronil Capsules 20 mg","膠囊","","白;;;白","","無","16","SW B 50","20mg","https://mcp.fda.gov.tw/insert/shapeImg/eb09f15a-7d2e-45ce-87e4-4d1c7cbfedc6?c=o"
"衛部藥製字第061056號","泰脈紓持續性藥效錠30毫克","Taxopine CORS Tablets 30mg","圓形","","粉","","無","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/5cc9ffec-18a3-482c-95a2-6d867237bcce_img_1?c=o"
"衛部藥製字第061057號","秘可通膜衣錠","Mikoton F.C. Tablets","圓形","","棕","","無","8",,,"https://mcp.fda.gov.tw/insert/shapeImg/112d3cdc-b01e-4b40-87ae-b91152b9693d?c=o"
"衛部藥製字第061058號","可治秘膜衣錠","Cozume F.C. Tablets","圓形","","黃","","直線","8",,,"https://mcp.fda.gov.tw/insert/shapeImg/c3f8faf3-ec42-4509-8813-0cd6e50d68f3?c=o"
"衛部藥製字第061063號","""杏輝""道暢平膜衣錠5毫克","Ufluent FC Tablets 5mg ""Sinphar""","圓形","","黃","","無","8","SP","246","https://mcp.fda.gov.tw/insert/shapeImg/061006d7-d0f0-4b1f-a76d-cb5342d5d059_img_1?c=o"
"衛部藥製字第061067號","""杏輝""美格多口服懸浮液40毫克/毫升","Megetol Oral Suspension 40mg/mL ""Sinphar""","液劑(包含糖漿用粉劑)","","橘","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/3aaa3e27-adb9-4a37-a052-b7253a32105d?c=o"
"衛部藥製字第061075號","慮安錠","Lyuan Tablets (Alprazolam)","橢圓形","","粉","","直線","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/fe9061ec-a577-4dec-bd5a-cc7206328486?c=o"
"衛部藥製字第061091號","抑脂樂錠10毫克","Ezeler Tablets 10mg","四邊形","","白","","無","8","OP","70","https://mcp.fda.gov.tw/insert/shapeImg/6e3c6373-cb4d-41ed-9eae-cef8c5680162?c=o"
"衛部藥製字第061095號","""嘉林""去炎腫錠50毫克","Lysol Tablets 50mg ""C.L.""","圓形","","藍","","直線","7","M R",,"https://mcp.fda.gov.tw/insert/shapeImg/856cf32e-89f1-431d-a158-7166859a2de4?c=o"
"衛部藥製字第061096號","""永信""糖泌康膜衣錠15/500毫克","Diabecon F.C.Tablets 15/500mg ""Yung Shin""","橢圓形","","白","","無","13.6","15l500","YSP177","https://mcp.fda.gov.tw/insert/shapeImg/5b110238-6482-42dc-8255-b5682dc38014?c=o"
"衛部藥製字第061099號","理冒伊普膜衣錠400毫克","Fucole Ibuprofen Film Coated Tablets 400mg","橢圓形","","白","","直線","14.3",,,"https://mcp.fda.gov.tw/insert/shapeImg/1370c77d-b971-43f0-b5f7-72ef8a538937?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/d5a0a9a9-ec10-47a6-836c-6af7722014cf_img_1?c=o"
"衛部藥製字第061100號","癲好腸溶膜衣錠250毫克","Valproic Acid 250mg","圓形","","白","","無","11",,,"https://mcp.fda.gov.tw/insert/shapeImg/11c656e6-9273-4d03-98ab-38c855b6d9c6?c=o"
"衛部藥製字第061107號","列優平持續性藥效錠4毫克","Doros CORS Tablets 4mg","圓形","","白","","無","10",,,"https://mcp.fda.gov.tw/insert/shapeImg/543e331f-e75b-4c6e-b899-6e692f640ee6_img_1?c=o"
"衛部藥製字第061108號","硬郎錠5毫克","Standfil Tablets 5mg","其他","","白","","無","8","AX 204",,"https://mcp.fda.gov.tw/insert/shapeImg/2a265ac5-bfbd-45d2-978d-383f3c9a2e22_img_1?c=o"
"衛部藥製字第061116號","舒鐵可溶錠125毫克","Annofe Dispersible Tablets 125mg","圓形","","白","","無","12","AX 227",,"https://mcp.fda.gov.tw/insert/shapeImg/fdb6d62a-7736-4d8a-bdd6-da43a8f345bc_img_1?c=o"
"衛部藥製字第061120號","薇己膜衣錠","Winsmin F.C. Tablets","圓形","","黃","","無","6","SYN 033",,"https://mcp.fda.gov.tw/insert/shapeImg/9db91294-1553-4223-83b4-4eb69b41b955?c=o"
"衛部藥製字第061127號","銀杏通膜衣錠40毫克","Ginflow F.C. Tablets 40mg","圓形","","黃","","無","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/ea0e6f1f-be5d-4d34-bad6-982df6a38c17_img_1?c=o"
"衛部藥製字第061133號","卡伯特錠8毫克","Karprotec Tablets 8mg","圓形","","粉","","直線","7","SYN 075",,"https://mcp.fda.gov.tw/insert/shapeImg/36f7213b-96bb-4e11-a089-52ebb05528ee?c=o"
"衛部藥製字第061134號","天下消痰顆粒","TSST granules","顆粒劑、粉劑或散劑","","橘","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/a8406c13-31b8-4488-84e7-d0df7c70aecd?c=o"
"衛部藥製字第061136號","莫卡膜衣錠10毫克","Muca film-coated tablets 10mg","四邊形","","粉","","直線","10",,,"https://mcp.fda.gov.tw/insert/shapeImg/28b4fbc2-4d2c-4586-acdc-57e77ecca04a?c=o;;;https://mcp.fda.gov.tw/insert/shapeImg/4daed2d1-71ad-4d48-9dc9-2590da58993b_img_1?c=o"
"衛部藥製字第061138號","""派頓""亞托平眼藥水0.01%","Atropine Ophthalmic Solution 0.01% ""Patron""",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/7241e17c-b2ca-40ae-8461-533fe2e072de?c=o"
"衛部藥製字第061144號","博霓膠囊4毫克","Pomali Capsule 4mg","膠囊","","藍;;;藍","","無","18","LP","667","https://mcp.fda.gov.tw/insert/shapeImg/5c69976b-b28a-4b6c-98ae-3d9a6c88ddbf?c=o"
"衛部藥製字第061146號","""元宙""伊達樂膜衣錠5毫克","Tadala F.C. Tablets 5mg ""Y.C.""","圓形","","黃","","直線","7","Y",,"https://mcp.fda.gov.tw/insert/shapeImg/a585313f-df4d-44f3-b4bc-d5c6768a1f46_img_1?c=o"
"衛部藥製字第061147號","""元宙""伊達樂膜衣錠10毫克","Tadala F.C. Tablets 10mg ""Y.C.""","橢圓形","","黃","","無","12","422",,"https://mcp.fda.gov.tw/insert/shapeImg/db8a14b8-afc5-48bf-8ee8-73835472a264_img_1?c=o"
"衛部藥製字第061150號","硬郎錠10毫克","Standfil Tablets 10mg","其他","","白","","無","10","AX 213",,"https://mcp.fda.gov.tw/insert/shapeImg/718ab01f-3fd2-4b74-81b1-b3b85d8bf19d_img_1?c=o"
"衛部藥製字第061151號","博霓膠囊2毫克","Pomali Capsule 2mg","膠囊","","橘;;;橘","","無","16","LP","665","https://mcp.fda.gov.tw/insert/shapeImg/72a6b1fc-fd3b-4fb3-a370-ff2e963502b6?c=o"
"衛部藥製字第061152號","博霓膠囊1毫克","Pomali Capsule 1mg","膠囊","","黃;;;黃","","無","20","LP","664","https://mcp.fda.gov.tw/insert/shapeImg/a6f87cbc-3b7b-47d7-bb7e-b9c0408be159?c=o"
"衛部藥製字第061157號","博霓膠囊3毫克","Pomali Capsule 3mg","膠囊","","藍綠;;;藍綠","","無","20","LP","690","https://mcp.fda.gov.tw/insert/shapeImg/e45ddcba-97bd-4ff8-838a-c898001d6dec?c=o"
"衛部藥製字第061163號","雄固膜衣錠30毫克","Slivigy F.C. Tablets 30mg","圓形","","灰","","無","6.6","CCP","30","https://mcp.fda.gov.tw/insert/shapeImg/af3c93ff-6491-4f36-ad3c-6a73eeef610c?c=o"
"衛部藥製字第061165號","同抑脂膠囊2/10毫克","Tonvasca Capsules 2/10 mg","膠囊","","白;;;白","","無","18","OP","75","https://mcp.fda.gov.tw/insert/shapeImg/ee5e495e-5f2a-49b6-9c9b-61cb0a1b9c77?c=o"
"衛部藥製字第061169號","易靜錠2毫克","Ezole Tablets 2mg","圓形","","白","","直線","7",,,"https://mcp.fda.gov.tw/insert/shapeImg/71bfb6c6-ea7e-4f48-8e94-fa0035e52e8a?c=o"
"衛部藥製字第061171號","愛洩敏膜衣錠10毫克","Icemine F.C. Tablets 10mg","四邊形","","白","","直線","10.7","SC",,"https://mcp.fda.gov.tw/insert/shapeImg/7e2b2a19-dc33-426b-8d9b-8c19b1a76f36?c=o"
"衛部藥製字第061172號","""衛肯""亞斯坦顆粒劑66.7毫克","Acestein Granules 66.7mg/g ""Welcan""","顆粒劑、粉劑或散劑","","橘","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/f91c2e25-962a-4c02-9ba8-905abb49ccea?c=o"
"衛部藥製字第061173號","""羅得國際""益普痛膜衣錠400毫克","E PU TON F.C. Tablets 400mg ""Root NT""","圓形","","粉","","直線","13",,,"https://mcp.fda.gov.tw/insert/shapeImg/e6168886-5a47-4b1c-8625-caadffcf5467?c=o"
"衛部藥製字第061185號","迪歐明膜衣錠500毫克","Tiormy film-coated tablets 500mg","橢圓形","","橘","","無","19","HS 500",,"https://mcp.fda.gov.tw/insert/shapeImg/3187b04a-56a1-4211-ad29-8e209da4d974?c=o"
"衛部藥製字第061186號","飛悅膜衣錠40毫克","Feuri F.C. Tablets 40mg","圓形","","黃","","直線","9.2","CCP 347",,"https://mcp.fda.gov.tw/insert/shapeImg/2d867794-9c88-4fbf-9687-682d6d3843db?c=o"
"衛部藥製字第061187號","""豐田""視又明眼藥水","Wellsight Eye Drops ""H.T.""",,"","","",,,,,"https://mcp.fda.gov.tw/insert/shapeImg/75bb5eb6-2a52-40bf-bccd-cbaaf15996c4?c=o"
"衛部藥製字第061188號","易得靜膜衣錠10毫克","Exprexa F.C. Tablets 10mg","圓形","","黃","","直線","10","EB 2061",,"https://mcp.fda.gov.tw/insert/shapeImg/454334e4-8d3a-4421-9ea2-003b141a141e?c=o"
"衛部藥製字第061395號","保的胃腸溶膜衣錠20毫克","PO WELL Enteric F.C. Tablets 20mg","圓形","","黃","","無","6.2",,,"https://mcp.fda.gov.tw/insert/shapeImg/7d265222-ef38-463a-94d9-c3c740f2fb94_img_1?c=o"
"衛部藥製字第061396號","胃紓喜腸溶膜衣錠20毫克","Wesuxium Enteric F.C. Tablets 20mg","圓形","","黃","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/db8cbcd0-db84-4a38-996e-0b1a7b9d65ac?c=o"
"衛部藥製字第061412號","""中美""炎立停口腔消炎噴液劑","Yan Li Ting Anti-inflammatory Spray ""C.M.""","液劑(包含糖漿用粉劑)","","透明","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/d11f3a16-bc2c-4849-a59d-bad9faa998c3?c=o"
"衛部藥製字第061413號","樂好眠膜衣錠8毫克","Ramesoon F.C. Tablets 8mg","圓形","","黃","","直線","7","N K","521","https://mcp.fda.gov.tw/insert/shapeImg/d423db64-e738-45d3-9276-c3678c257976_img_1?c=o"
"衛部藥製字第061414號","大捷膠囊75毫克","Tazac Capsules 75mg","膠囊","","黃;;;白","","無","17.8","TAZAC 75mg","TAZAC 75mg","https://mcp.fda.gov.tw/insert/shapeImg/83f2c10b-f33e-4592-81f1-6be04ff8d8dc?c=o"
"衛部藥製字第061415號","""國嘉""思專定口服液4毫克/毫升","Atotine oral Solution 4mg/mL ""Kojar""","液劑(包含糖漿用粉劑)","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/34360828-b0fb-4c8e-b43e-f900981882c8?c=o"
"衛部藥製字第061416號","息樂炎膜衣錠60毫克","Youkoxia F.C. Tab. 60mg","三角形","","綠","","直線","8.6","YSP 308",,"https://mcp.fda.gov.tw/insert/shapeImg/9e024b0a-5e70-4fd8-b176-ab29786b0467?c=o"
"衛部藥製字第061418號","淨脈舒膜衣錠500毫克","VENCARE F.C. TABLETS 500mg","橢圓形","","紅","","無","1.8",,,"https://mcp.fda.gov.tw/insert/shapeImg/77071dd0-b653-485b-a9dd-38a426eca154?c=o"
"衛部藥製字第061419號","富必欣持續性藥效錠4毫克","Danxosin CORS Tablets 4mg","圓形","","白","","無","9",,,"https://mcp.fda.gov.tw/insert/shapeImg/67321d56-3b70-449b-b264-5d3cfabd8efa_img_1?c=o"
"衛部藥製字第061420號","鉑度膠囊4毫克","Pomado Capsule 4mg","膠囊","","藍;;;粉","","無","18",,,"https://mcp.fda.gov.tw/insert/shapeImg/fd3a6ffe-cbb5-4b68-a6b8-9a8f4273b3f1?c=o"
"衛部藥製字第061424號","治昌優膜衣錠500毫克","Veinlax F.C. Tablets 500mg","橢圓形","","粉","","無","17",,,"https://mcp.fda.gov.tw/insert/shapeImg/fd565f69-fbbc-4c25-8342-6873315777c8_img_1?c=o"
"衛部藥製字第061429號","剋必達錠","Kepida Tablets","圓形","","白","","無","7",,,"https://mcp.fda.gov.tw/insert/shapeImg/2edecd0d-2698-48f7-b11a-2d5e67dd9b2c?c=o"
"衛部藥製字第061433號","常必順腸溶膜衣錠5毫克","Bisal Enteric Film Coated Tablets 5mg","圓形","","黃","","無","6.6",,,"https://mcp.fda.gov.tw/insert/shapeImg/1ba32e54-0e61-445e-ae40-63e305a7549a?c=o"
"衛部藥製字第061435號","益利舒持續釋放口溶錠0.4毫克","Tamokas D Tablets 0.4mg","圓形","","白","","無","9","AX 247",,"https://mcp.fda.gov.tw/insert/shapeImg/dbabe808-bfba-40a1-9580-12313bbe3106?c=o"
"衛部藥製字第061446號","""安星""優胃舒錠10毫克(歐西拉因)","Youweishu Tablets 10mg (Oxethazaine) ""Astar""","橢圓形","","白","","直線","10","ASTAR",,"https://mcp.fda.gov.tw/insert/shapeImg/f7fb6a82-65f1-4c3a-8064-c87db54c776d?c=o"
"衛部藥製字第061447號","""衛肯""克止敏膠囊50毫克","Hydramin Capsule 50mg ""Welcan""","膠囊","","藍;;;白","","無","14.4",,,"https://mcp.fda.gov.tw/insert/shapeImg/43ccc7fb-b9aa-42f3-b2f9-01716e84f719?c=o"
"衛部藥製字第061449號","痛悅定膜衣錠40毫克","Fetrin Film Coated Tablets 40mg","圓形","","白","","無","9.1","YSP FBT","40","https://mcp.fda.gov.tw/insert/shapeImg/e1e50f03-af9a-4c39-b23a-0abea1964172?c=o"
"衛部藥製字第061459號","羅亞達錠5毫克","Arizole Tablets 5mg","四邊形","","藍","","直線","8.0","CCP 5",,"https://mcp.fda.gov.tw/insert/shapeImg/0ea7bbea-4824-45e3-9aa5-d3d3e95684ce?c=o"
"衛部藥製字第061460號","益利舒持續釋放口溶錠0.2毫克","Tamokas D Tablets 0.2mg","圓形","","白","","無","9","AX 207",,"https://mcp.fda.gov.tw/insert/shapeImg/ea0213b1-bc0f-4790-a66f-1d27bb086e63?c=o"
"衛部藥製字第061461號","胃護治顆粒20毫克/公克","Famocid Granules 20mg/g","顆粒劑、粉劑或散劑","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/7699b2cc-8bc2-426c-acf6-f588203e0f8f?c=o"
"衛部藥製字第061464號","""約克""骨得力加強型口服溶液用粉劑","Gooduly powder for oral solution ""Y.K.""","顆粒劑、粉劑或散劑","","白","","無",,,,"https://mcp.fda.gov.tw/insert/shapeImg/d15e64ee-9e9d-43af-92c7-71b3a7211075?c=o"
